X,Y,Z,x,y,z,w
1.3661,0.27332,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3642210526315792,0.27250372576177284,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3623421052631581,0.27168745152354573,-0.09536,0.29518,0.79266,0.19416,0.49685
1.360463157894737,0.27087117728531857,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3585842105263157,0.27005490304709145,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3567052631578949,0.2692386288088643,-0.09536000000000001,0.29518,0.79266,0.19416,0.49685
1.3548263157894738,0.2684223545706371,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3529473684210527,0.26760608033240996,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3510684210526316,0.26678980609418285,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3491894736842107,0.26597353185595574,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3473105263157894,0.26515725761772857,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3454315789473685,0.2643409833795014,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3435526315789474,0.26352470914127424,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3416736842105264,0.2627084349030471,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3397947368421053,0.26189216066481996,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3379157894736844,0.26107588642659285,-0.09536,0.29518,0.79266,0.19416,0.49685
1.336036842105263,0.2602596121883657,-0.09536,0.29518,0.79266,0.19416,0.49685
1.334157894736842,0.2594433379501385,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3322789473684211,0.2586270637119114,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3304,0.25781078947368424,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3304,0.25781078947368424,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3322789473684213,0.25699451523545713,-0.09536,0.29518,0.79266,0.19416,0.49685
1.334157894736842,0.2561782409972299,-0.09536,0.29518,0.79266,0.19416,0.49685
1.336036842105263,0.2553619667590028,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3379157894736844,0.25454569252077563,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3397947368421053,0.25372941828254847,-0.09536000000000001,0.29518,0.79266,0.19416,0.49685
1.3416736842105264,0.25291314404432136,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3435526315789472,0.2520968698060942,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3454315789473685,0.251280595567867,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3473105263157896,0.2504643213296399,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3491894736842105,0.24964804709141275,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3510684210526316,0.24883177285318558,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3529473684210527,0.24801549861495845,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3548263157894738,0.2471992243767313,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3567052631578949,0.24638295013850414,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3585842105263157,0.245566675900277,-0.09536,0.29518,0.79266,0.19416,0.49685
1.360463157894737,0.24475040166204987,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3623421052631581,0.24393412742382273,-0.09536,0.29518,0.79266,0.19416,0.49685
1.364221052631579,0.24311785318559556,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3661,0.24230157894736842,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3661,0.24230157894736842,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3642210526315792,0.24148530470914129,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3623421052631581,0.24066903047091412,-0.09536,0.29518,0.79266,0.19416,0.49685
1.360463157894737,0.23985275623268698,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3585842105263157,0.23903648199445982,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3567052631578949,0.2382202077562327,-0.09536000000000001,0.29518,0.79266,0.19416,0.49685
1.3548263157894738,0.23740393351800554,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3529473684210527,0.23658765927977837,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3510684210526316,0.23577138504155123,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3491894736842107,0.2349551108033241,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3473105263157894,0.23413883656509696,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3454315789473685,0.23332256232686982,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3435526315789474,0.23250628808864265,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3416736842105264,0.2316900138504155,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3397947368421053,0.23087373961218838,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3379157894736844,0.2300574653739612,-0.09536,0.29518,0.79266,0.19416,0.49685
1.336036842105263,0.22924119113573407,-0.09536,0.29518,0.79266,0.19416,0.49685
1.334157894736842,0.22842491689750694,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3322789473684211,0.22760864265927977,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3304,0.22679236842105263,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3304,0.22679236842105263,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3322789473684213,0.2259760941828255,-0.09536,0.29518,0.79266,0.19416,0.49685
1.334157894736842,0.22515981994459836,-0.09536,0.29518,0.79266,0.19416,0.49685
1.336036842105263,0.22434354570637116,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3379157894736844,0.22352727146814402,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3397947368421053,0.2227109972299169,-0.09536000000000001,0.29518,0.79266,0.19416,0.49685
1.3416736842105264,0.22189472299168975,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3435526315789472,0.2210784487534626,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3454315789473685,0.22026217451523544,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3473105263157896,0.21944590027700833,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3491894736842105,0.21862962603878117,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3510684210526316,0.217813351800554,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3529473684210527,0.2169970775623269,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3548263157894738,0.21618080332409972,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3567052631578949,0.21536452908587256,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3585842105263157,0.21454825484764545,-0.09536,0.29518,0.79266,0.19416,0.49685
1.360463157894737,0.21373198060941828,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3623421052631581,0.21291570637119112,-0.09536,0.29518,0.79266,0.19416,0.49685
1.364221052631579,0.212099432132964,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3661,0.21128315789473684,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3661,0.21128315789473684,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3642210526315792,0.21046688365650973,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3623421052631581,0.20965060941828254,-0.09536,0.29518,0.79266,0.19416,0.49685
1.360463157894737,0.2088343351800554,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3585842105263157,0.20801806094182826,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3567052631578949,0.20720178670360112,-0.09536000000000001,0.29518,0.79266,0.19416,0.49685
1.3548263157894738,0.20638551246537395,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3529473684210527,0.20556923822714682,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3510684210526316,0.20475296398891968,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3491894736842107,0.20393668975069254,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3473105263157894,0.2031204155124654,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3454315789473685,0.20230414127423824,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3435526315789474,0.20148786703601107,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3416736842105264,0.20067159279778396,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3397947368421053,0.1998553185595568,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3379157894736844,0.19903904432132966,-0.09536,0.29518,0.79266,0.19416,0.49685
1.336036842105263,0.19822277008310252,-0.09536,0.29518,0.79266,0.19416,0.49685
1.334157894736842,0.19740649584487538,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3322789473684211,0.1965902216066482,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3304,0.19577394736842108,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3304,0.19577394736842108,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3322789473684213,0.19495767313019394,-0.09536,0.29518,0.79266,0.19416,0.49685
1.334157894736842,0.19414139889196677,-0.09536,0.29518,0.79266,0.19416,0.49685
1.336036842105263,0.19332512465373963,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3379157894736844,0.1925088504155125,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3397947368421053,0.19169257617728536,-0.09536000000000001,0.29518,0.79266,0.19416,0.49685
1.3416736842105264,0.1908763019390582,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3435526315789472,0.19006002770083102,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3454315789473685,0.1892437534626039,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3473105263157896,0.18842747922437675,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3491894736842105,0.18761120498614958,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3510684210526316,0.18679493074792244,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3529473684210527,0.1859786565096953,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3548263157894738,0.18516238227146814,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3567052631578949,0.184346108033241,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3585842105263157,0.18352983379501384,-0.09536,0.29518,0.79266,0.19416,0.49685
1.360463157894737,0.1827135595567867,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3623421052631581,0.18189728531855956,-0.09536,0.29518,0.79266,0.19416,0.49685
