Time_stamp,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
FPS,240.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Time,gripper_X,gripper_Y,gripper_Z,gripper_w,gripper_x,gripper_y,gripper_z,helmet_X,helmet_Y,helmet_Z,helmet_w,helmet_x,helmet_y,helmet_z,chisel_X,chisel_Y,chisel_Z,chisel_w,chisel_x,chisel_y,chisel_z,battery_X,battery_Y,battery_Z,battery_w,battery_x,battery_y,battery_z,A1_X,A1_Y,A1_Z,A2_X,A2_Y,A2_Z,A3_X,A3_Y,A3_Z,A4_X,A4_Y,A4_Z,B1_X,B1_Y,B1_Z,B2_X,B2_Y,B2_Z,C1_X,C1_Y,C1_Z,C2_X,C2_Y,C2_Z,D1_X,D1_Y,D1_Z,D2_X,D2_Y,D2_Z,D3_X,D3_Y,D3_Z,D4_X,D4_Y,D4_Z
11.158333,0.459724182,0.012973763,0.485250458,-0.220912,0.622655,-0.169797,-0.731209,0.663608521,0.149946198,0.917751709,0.046524,0.284818,0.024852,-0.957129,0.286263641,0.217723343,0.169811569,-0.690093,-0.128911,0.707267,-0.083231,0.11105696899999999,0.347411652,0.168409668,0.999998,-0.000395,-0.002064,0.000575,-0.026423222,0.214995789,0.16898637400000002,-0.024443575,0.305687164,0.17023336800000002,-0.023399677,0.390397705,0.172330643,-0.02110228,0.478624512,0.175161285,0.063117855,0.47815722699999996,0.174584045,0.153805038,0.477025909,0.174825348,0.235517197,0.475940338,0.176334137,0.237066269,0.389121033,0.173056107,0.236534103,0.29749633799999997,0.17197442599999999,0.235723541,0.210977951,0.17150174,0.151270813,0.213335938,0.169183258,0.061027901,0.214470245,0.169203415
11.1625,0.460099152,0.012919955,0.484917084,-0.220835,0.623101,-0.170358,-0.730722,0.663625977,0.14965976,0.917664185,0.046638,0.285019,0.025115,-0.957057,0.285972076,0.21769723500000002,0.16907850600000002,-0.688744,-0.128452,0.708627,-0.083545,0.111023972,0.34740322900000004,0.168407639,0.999998,-0.000412,-0.002046,0.00057,-0.02645192,0.21497995,0.168982864,-0.024470152,0.30567929099999996,0.17023291000000002,-0.023437429000000003,0.390388519,0.172316956,-0.021128769,0.478613678,0.175151978,0.063094208,0.47814495799999995,0.174579529,0.15377323899999998,0.477008026,0.174825027,0.235490051,0.47592379799999995,0.176335785,0.23703507999999998,0.389112823,0.173050354,0.236511108,0.297488861,0.171975433,0.23569627399999998,0.210968796,0.171487183,0.151246841,0.2133237,0.169175781,0.060998165,0.21446554599999998,0.169192139
11.166667,0.460476349,0.012870103,0.48460583500000004,-0.220737,0.623431,-0.170843,-0.730357,0.663645752,0.149416199,0.917556885,0.046744,0.28527,0.025352,-0.956971,0.28556057700000004,0.21752507,0.16870723,-0.688317,-0.127126,0.70917,-0.084485,0.111004913,0.34740927099999996,0.168384277,0.999998,-0.000406,-0.002043,0.00058,-0.026473679,0.214991409,0.168960388,-0.024486418,0.30568457,0.170206894,-0.023452833,0.39039703400000003,0.172288498,-0.021148754,0.478627625,0.175122513,0.063080959,0.478157471,0.174537766,0.153761719,0.47702105699999997,0.174793259,0.235479721,0.47593399,0.17630612199999998,0.23702388,0.389125061,0.17302003500000002,0.23650389100000002,0.297496399,0.17195022599999998,0.235687805,0.21096693400000002,0.171456772,0.151234055,0.213333618,0.16913665800000002,0.060986480999999995,0.21446421799999998,0.16916803
11.170833,0.460865784,0.012860723999999999,0.48434234600000003,-0.220765,0.623596,-0.171285,-0.730105,0.663677734,0.14920519999999998,0.917423706,0.046938,0.285659,0.025653,-0.956837,0.285225677,0.217422165,0.168190552,-0.687599,-0.125953,0.709968,-0.085375,0.110998619,0.34742620799999996,0.168343109,0.999998,-0.000357,-0.002042,0.000573,-0.026471371,0.215010178,0.168924438,-0.024498882,0.30571051,0.170164276,-0.023457045,0.390421234,0.17224255400000002,-0.021154455,0.478641296,0.17508847,0.063072735,0.47817041,0.174500031,0.15375752299999998,0.477044739,0.174747314,0.235481506,0.47596115099999997,0.176268494,0.237027237,0.389149597,0.17296936,0.236500168,0.29751236,0.171907974,0.23567570499999999,0.210987488,0.171402786,0.151227905,0.213356705,0.169099762,0.060983433,0.214476822,0.169134521
11.175,0.46127645899999997,0.012866587,0.484044769,-0.220864,0.623855,-0.171637,-0.72977,0.6637012330000001,0.149020325,0.917280884,0.047148,0.286158,0.025968,-0.956669,0.284945557,0.217497787,0.16733989,-0.686152,-0.125582,0.711433,-0.085368,0.111002785,0.347445862,0.16829740899999998,0.999998,-0.000282,-0.002039,0.000565,-0.026463232,0.215017288,0.168893127,-0.024492277,0.305724426,0.17013443,-0.023444193,0.39042721599999997,0.17220585600000002,-0.021163568,0.478657379,0.175038788,0.063075134,0.47819104,0.17446005199999998,0.15375735499999998,0.477075348,0.17468836999999998,0.23549842799999998,0.475990356,0.176228867,0.23702748099999998,0.389181152,0.172944199,0.236504639,0.29754330399999995,0.171871292,0.235690445,0.211022034,0.17137211600000002,0.151232178,0.213373123,0.16906073000000002,0.060985344,0.214496536,0.169096115
11.179167,0.46167013500000004,0.012874089,0.48375988799999997,-0.220977,0.624168,-0.171884,-0.729411,0.663703064,0.148863785,0.917130554,0.047302,0.286639,0.026287,-0.956509,0.284598175,0.217486694,0.166736389,-0.685287,-0.125003,0.712333,-0.085657,0.110995758,0.347463593,0.168252243,0.999998,-0.00019,-0.002031,0.000554,-0.026454565,0.215032898,0.16886985799999998,-0.024489008,0.305742432,0.17009612999999998,-0.023438148000000002,0.39043808,0.172174454,-0.021168818000000002,0.47866915899999996,0.175008377,0.063065441,0.478203583,0.17441362000000002,0.15376652500000001,0.477104401,0.17464494300000002,0.235500931,0.476018677,0.176188721,0.237020706,0.389212402,0.17289949,0.236501465,0.29755792200000003,0.17184097299999998,0.235690994,0.211048676,0.171327164,0.151241394,0.21339502,0.16902130099999998,0.06098119,0.214509186,0.169054184
11.183333,0.46203533900000004,0.012875966999999999,0.483557098,-0.221055,0.624322,-0.17214,-0.729195,0.663666748,0.148711151,0.916966003,0.047465,0.287232,0.026542,-0.956316,0.28421191399999995,0.217435104,0.166203568,-0.684477,-0.124142,0.713209,-0.086098,0.110973846,0.347473999,0.168221802,0.999998,-0.000124,-0.002024,0.000549,-0.026455660000000002,0.21503909300000001,0.168854568,-0.024489498000000002,0.30576171900000004,0.170078171,-0.023443159,0.390438629,0.17215921,-0.02117802,0.478683685,0.17499025,0.063051311,0.478215607,0.174378281,0.15375769,0.477119415,0.174624374,0.235491165,0.476033173,0.176174347,0.237010941,0.389228943,0.17287745699999998,0.236491791,0.297577698,0.17181349199999998,0.235680756,0.21106509399999998,0.171307556,0.151232452,0.21340156600000001,0.16900705,0.060970633999999996,0.214518555,0.16903804
11.1875,0.46240054300000005,0.012875184000000001,0.48331674199999997,-0.221088,0.624508,-0.172461,-0.72895,0.6636156009999999,0.148569229,0.916808472,0.047633,0.287861,0.026733,-0.956113,0.28382196,0.21736998,0.16565470899999998,-0.683528,-0.123005,0.71424,-0.086717,0.11094487,0.34748086499999997,0.16820752,0.999998,-0.000109,-0.002012,0.000549,-0.026470057,0.21504379299999998,0.168843277,-0.024499369,0.30576977499999997,0.17007044999999998,-0.023460682,0.39045224,0.172155136,-0.021188932,0.47869458,0.174987869,0.063039467,0.478229645,0.174372955,0.15374379,0.477128754,0.174623306,0.235474472,0.47605120799999995,0.176169037,0.237001419,0.38924173,0.17286795000000002,0.236477676,0.29758847,0.171804001,0.235667114,0.211085907,0.171305084,0.151214462,0.21341468800000002,0.168989624,0.060959057000000004,0.214535568,0.169036987
