Time_stamp,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
FPS,240.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Time,gripper_X,gripper_Y,gripper_Z,gripper_w,gripper_x,gripper_y,gripper_z,helmet_X,helmet_Y,helmet_Z,helmet_w,helmet_x,helmet_y,helmet_z,chisel_X,chisel_Y,chisel_Z,chisel_w,chisel_x,chisel_y,chisel_z,battery_X,battery_Y,battery_Z,battery_w,battery_x,battery_y,battery_z,A1_X,A1_Y,A1_Z,A2_X,A2_Y,A2_Z,A3_X,A3_Y,A3_Z,A4_X,A4_Y,A4_Z,B1_X,B1_Y,B1_Z,B2_X,B2_Y,B2_Z,C1_X,C1_Y,C1_Z,C2_X,C2_Y,C2_Z,D1_X,D1_Y,D1_Z,D2_X,D2_Y,D2_Z,D3_X,D3_Y,D3_Z,D4_X,D4_Y,D4_Z
9.333333,0.133150574,-0.040699631,0.453335297,-0.452853,0.532847,-0.368433,-0.612581,0.45839685100000005,-0.13059570299999998,0.9246826170000001,-0.440715,0.226243,-0.141594,-0.857051,0.285511505,0.207409866,0.171125626,-0.646623,0.0662,0.7419,0.164561,0.11142421,0.347295868,0.169276459,0.999998,3.3e-05,-0.001711,0.000624,-0.024136466999999998,0.212364487,0.16999472,-0.022827013,0.302993561,0.170948288,-0.022441292,0.38761773699999996,0.175075638,-0.020893116,0.47587768599999997,0.176769821,0.06333583500000001,0.476023407,0.175545029,0.15398004199999998,0.475672119,0.176139084,0.235576721,0.47513384999999997,0.177085663,0.23794042999999998,0.388422211,0.174032791,0.23808906600000002,0.296855286,0.173194321,0.237832886,0.21038432299999998,0.174084442,0.153571777,0.211980423,0.169832489,0.063313595,0.212474213,0.169816193
9.3375,0.133224243,-0.040951042,0.453311615,-0.452655,0.532911,-0.368331,-0.612733,0.458598419,-0.130564453,0.9246298829999999,-0.440487,0.22639,-0.141803,-0.857094,0.28476040599999997,0.20770422400000002,0.17001402300000001,-0.645536,0.065984,0.74298,0.164043,0.111400215,0.347313232,0.169253693,0.999998,8.3e-05,-0.001715,0.00063,-0.024172766,0.21237223800000002,0.169989639,-0.022858958999999998,0.30300116000000005,0.17093820199999998,-0.02246834,0.38762793,0.17506414799999998,-0.020921513,0.47589679,0.176762787,0.063307232,0.47604199199999997,0.175545334,0.15395575,0.475682587,0.176133392,0.235546707,0.475145325,0.177070908,0.237906158,0.388433258,0.174025681,0.238061691,0.296856781,0.173186661,0.237799438,0.210394867,0.17408837900000002,0.153536331,0.211988403,0.169813629,0.063275009,0.212486343,0.169811859
9.341667,0.133346176,-0.041195839,0.453177826,-0.452421,0.533146,-0.368441,-0.612636,0.45879724099999997,-0.130520416,0.924575562,-0.440344,0.22648,-0.142022,-0.857108,0.283966766,0.20806454500000002,0.16901591500000002,-0.644798,0.065723,0.743718,0.163708,0.111370262,0.347329102,0.169224625,0.999998,0.000155,-0.001711,0.000638,-0.024213652,0.21238543699999998,0.169977997,-0.022893082,0.303029114,0.170922409,-0.022506516,0.387656342,0.175049744,-0.020953705,0.47590859999999996,0.17675143399999999,0.063260822,0.476065033,0.175522659,0.15392494199999998,0.475706635,0.176115723,0.235512527,0.47515966800000004,0.17705010999999998,0.237874573,0.388457367,0.174008682,0.238031891,0.296868988,0.17317143200000001,0.237769669,0.21041925,0.174070572,0.153496552,0.212015167,0.169801773,0.06323328,0.212511124,0.169811615
9.345833,0.133455841,-0.041444614000000005,0.453023499,-0.452091,0.53352,-0.368489,-0.612525,0.458994843,-0.130466934,0.92452179,-0.440282,0.226485,-0.142274,-0.857097,0.28319958500000003,0.20835334800000002,0.168027679,-0.644053,0.065118,0.744471,0.163459,0.111326828,0.347354065,0.169186584,0.999998,0.000241,-0.001702,0.000632,-0.024242908,0.212406631,0.169963486,-0.022926216,0.303045746,0.170910706,-0.022544581999999997,0.38767828400000004,0.175026398,-0.020988106,0.475943268,0.176738495,0.063212349,0.476097412,0.175503876,0.153884338,0.475736572,0.17609329199999998,0.23548027,0.475189575,0.177038452,0.237827286,0.388487457,0.173990555,0.238002975,0.296901031,0.173154449,0.237735153,0.210445129,0.17407110599999998,0.153457718,0.212042572,0.169778656,0.063187202,0.21254184,0.16979248000000002
9.35,0.133565353,-0.041663696,0.45291876200000003,-0.451837,0.533844,-0.36843,-0.612465,0.45920156900000003,-0.130397415,0.924473816,-0.440217,0.226535,-0.142471,-0.857084,0.282424103,0.208690018,0.167005081,-0.64311,0.064672,0.745377,0.163221,0.111290848,0.34738043199999996,0.169164978,0.999998,0.000287,-0.001703,0.000636,-0.024273298000000002,0.212438782,0.169956039,-0.022951146999999998,0.30308371,0.170893982,-0.022569956000000002,0.387704773,0.17500869800000002,-0.021024618000000002,0.475973694,0.17673080400000002,0.063180367,0.476147919,0.17549461400000002,0.15385614,0.47577654999999996,0.17608789100000002,0.23544932600000001,0.475230591,0.177019409,0.237803436,0.388523071,0.173998291,0.23797348,0.29692846700000003,0.173142685,0.237698914,0.210483246,0.174052124,0.153426086,0.21208813499999998,0.169773895,0.063153313,0.21258696,0.169776505
9.354167,0.13370413199999998,-0.041871696,0.452843414,-0.45161,0.534149,-0.368372,-0.612402,0.45941629,-0.13033085600000002,0.924433105,-0.440154,0.226524,-0.142695,-0.857082,0.28163568099999997,0.208987122,0.166048752,-0.642304,0.064229,0.746173,0.162928,0.111266502,0.347411316,0.169145599,0.999998,0.000352,-0.001686,0.000634,-0.024291059,0.21248509200000001,0.16996286,-0.022968983000000002,0.303102844,0.17089636200000002,-0.022594933,0.38773297100000004,0.17499617,-0.021040869,0.475998505,0.176727036,0.063156528,0.476174805,0.175497314,0.15383351099999998,0.475802704,0.17609161399999998,0.23543338,0.475266205,0.17701036099999998,0.237782471,0.388555847,0.173996094,0.237950974,0.29696637,0.173125488,0.237688675,0.210518921,0.174066666,0.15340832499999998,0.21211532600000002,0.169781677,0.063134895,0.21262017800000002,0.169783218
9.358333,0.133847122,-0.042084026000000004,0.452754456,-0.451376,0.534437,-0.368327,-0.61235,0.459637207,-0.13027572599999998,0.924389099,-0.4401,0.226503,-0.14293,-0.857076,0.28082180799999995,0.20931015,0.16515675400000002,-0.641622,0.064289,0.746862,0.162436,0.11125488300000001,0.347433075,0.16913528400000002,0.999998,0.000394,-0.001679,0.000627,-0.024294777,0.212508698,0.169963531,-0.022977165,0.303127167,0.170897522,-0.022598211,0.387751099,0.174997391,-0.021049208,0.476018463,0.176724945,0.06315064199999999,0.476195679,0.175491928,0.15382839999999998,0.475828033,0.176085785,0.23542269899999999,0.475290161,0.177003952,0.23777948000000002,0.388585999,0.173994095,0.237943893,0.29699176,0.173125732,0.23768222,0.21054240400000002,0.17405685399999998,0.15340136699999998,0.212131134,0.169772598,0.063135555,0.212650269,0.16978048699999998
9.3625,0.13403656,-0.042318401,0.452627563,-0.45112,0.53473,-0.368415,-0.61223,0.459862122,-0.130238327,0.9243524169999999,-0.440028,0.226477,-0.143154,-0.857083,0.280065826,0.209567322,0.16422879,-0.640769,0.064057,0.747723,0.161932,0.111261528,0.34743633999999995,0.169126221,0.999998,0.00042,-0.001681,0.000624,-0.024281696,0.21251915,0.16996215799999997,-0.022967289000000002,0.303121124,0.170881454,-0.022596302000000002,0.387747528,0.174986267,-0.021040825000000003,0.476020813,0.17671516399999998,0.063165874,0.47619680799999997,0.17548197899999998,0.153836197,0.47582858299999997,0.176076035,0.235431992,0.475287598,0.17699028,0.237787567,0.388590271,0.173987579,0.237954971,0.29700061,0.17311442600000002,0.237693512,0.210545502,0.174045105,0.15341421500000002,0.212133804,0.169767487,0.063134796,0.21265093999999998,0.169774185
