Time_stamp,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
FPS,240.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Time,gripper_X,gripper_Y,gripper_Z,gripper_w,gripper_x,gripper_y,gripper_z,helmet_X,helmet_Y,helmet_Z,helmet_w,helmet_x,helmet_y,helmet_z,chisel_X,chisel_Y,chisel_Z,chisel_w,chisel_x,chisel_y,chisel_z,battery_X,battery_Y,battery_Z,battery_w,battery_x,battery_y,battery_z,A1_X,A1_Y,A1_Z,A2_X,A2_Y,A2_Z,A3_X,A3_Y,A3_Z,A4_X,A4_Y,A4_Z,B1_X,B1_Y,B1_Z,B2_X,B2_Y,B2_Z,C1_X,C1_Y,C1_Z,C2_X,C2_Y,C2_Z,D1_X,D1_Y,D1_Z,D2_X,D2_Y,D2_Z,D3_X,D3_Y,D3_Z,D4_X,D4_Y,D4_Z
0.462500,0.265746857,0.08913278200000001,0.32192929099999995,-0.162283,0.433595,-0.637981,-0.615337,0.520697876,-0.145374954,0.921564941,-0.330275,0.256685,-0.053862,-0.906714,0.21595166000000002,0.222177765,0.162167618,-0.631472,0.197193,0.74505,0.085196,0.110594986,0.34712161300000005,0.168013397,0.999995,-0.000864,-0.00271,0.001361,-0.027100603,0.213243088,0.168634491,-0.025469971,0.30399527,0.170298813,-0.024705372,0.388561462,0.171841324,-0.02270583,0.47680395499999995,0.174694763,0.06155267,0.47663357500000003,0.174291687,0.152247635,0.475898102,0.174695862,0.233774139,0.474917572,0.176299866,0.23576982100000002,0.388227966,0.173185043,0.235562042,0.29656497200000004,0.172408188,0.23361319,0.2109366,0.183549469,0.150619156,0.212066574,0.16883058199999998,0.06030241,0.213064865,0.168115051
0.466667,0.265267792,0.089932816,0.32152975500000003,-0.159688,0.432631,-0.63894,-0.6157,0.520934998,-0.145124237,0.9216958009999999,-0.330215,0.256142,-0.054419,-0.906856,0.21671525600000002,0.221504486,0.162380096,-0.631251,0.197267,0.745456,0.08309,0.11054554,0.34712576300000003,0.168007339,0.999995,-0.000844,-0.002768,0.001385,-0.027153687000000003,0.213243774,0.16861241100000002,-0.025532587,0.304006317,0.170286652,-0.024764544,0.38856265300000004,0.17184506200000002,-0.022760336,0.476805878,0.174680466,0.061495364999999996,0.47663446,0.174287292,0.152193985,0.475898376,0.174696548,0.233708115,0.47491940299999996,0.176309418,0.23571118200000002,0.388235474,0.173197189,0.235505798,0.296569916,0.172424606,0.233582275,0.210916718,0.183385681,0.15058097799999998,0.212100281,0.16881970200000002,0.060246506,0.213062973,0.168107483
0.470833,0.26492398100000003,0.090858459,0.321217834,-0.157781,0.43151,-0.639638,-0.616252,0.521173645,-0.144877029,0.921837708,-0.330076,0.255556,-0.054947,-0.90704,0.217566315,0.22079209900000002,0.162575775,-0.630967,0.197441,0.745909,0.080736,0.110470291,0.347122253,0.16799855,0.999995,-0.000812,-0.002849,0.00138,-0.02721386,0.21323864699999998,0.168583511,-0.025599381999999997,0.30400640900000003,0.17026251199999998,-0.024826021,0.388566528,0.17182435599999998,-0.022826963,0.476807098,0.174657242,0.061429432,0.476642395,0.174290649,0.152139206,0.475895752,0.17471225,0.233649628,0.474916534,0.176324707,0.235648773,0.388236481,0.173219376,0.235433685,0.296561127,0.17244430500000002,0.23351565600000002,0.210903595,0.18332775899999998,0.150540237,0.212142471,0.168809021,0.060175526,0.21305595400000002,0.168075699
0.475000,0.264737305,0.09191198,0.320950104,-0.156385,0.429815,-0.64056,-0.616836,0.521409668,-0.14464389,0.921993652,-0.330006,0.254844,-0.055525,-0.907231,0.21840104700000001,0.220116104,0.162873917,-0.63092,0.197385,0.746197,0.07854,0.110382614,0.347120575,0.167998032,0.999994,-0.00081,-0.002949,0.001381,-0.027299627,0.213247787,0.168551392,-0.02569314,0.304024384,0.170255936,-0.02490325,0.38856063799999996,0.171805496,-0.022913822,0.476819397,0.174636597,0.061344025,0.476643982,0.174279419,0.15206939700000002,0.475900299,0.17471925400000002,0.233559357,0.47492251599999996,0.17634487899999998,0.235557114,0.388245667,0.173250854,0.23534845000000001,0.296573059,0.172471802,0.23345282,0.210893723,0.183191208,0.15046920800000002,0.212198044,0.168835541,0.060077168,0.213055023,0.168072571
0.479167,0.264411194,0.092793098,0.320568573,-0.154522,0.428846,-0.641375,-0.617133,0.521643066,-0.144419785,0.9221714480000001,-0.330019,0.25394,-0.056105,-0.907444,0.21932515,0.21940362500000002,0.163018616,-0.630618,0.197141,0.746751,0.076286,0.110292458,0.347126282,0.16799968,0.999994,-0.000817,-0.003052,0.001359,-0.027376514,0.213251022,0.16855050700000002,-0.025777998,0.304046143,0.170246216,-0.024977045,0.388572083,0.171790344,-0.022998007,0.47683435100000005,0.174613937,0.061261574000000006,0.47666058299999997,0.174281723,0.151995682,0.475901886,0.174742065,0.23348056,0.474928192,0.176376022,0.235478699,0.388250488,0.173281189,0.235257431,0.29658303799999997,0.172505936,0.23338388100000002,0.210878983,0.18306926,0.150389847,0.21222126800000002,0.168847046,0.059987518000000004,0.213066116,0.168075043
0.483333,0.264054047,0.093615494,0.320121582,-0.152461,0.42799,-0.642307,-0.61727,0.521887329,-0.14420945699999999,0.9223526000000001,-0.329947,0.253092,-0.05659,-0.907677,0.220339249,0.218722702,0.163150543,-0.630325,0.197075,0.747238,0.07408,0.11024368300000001,0.34713055400000004,0.168006561,0.999994,-0.00084,-0.003101,0.001333,-0.027411421000000002,0.213256348,0.168535538,-0.025823711,0.304056946,0.170240921,-0.025018588999999997,0.388576996,0.17176655600000001,-0.023036339000000003,0.476843719,0.174613068,0.061228512,0.476663025,0.17427562,0.15196348599999998,0.475908783,0.174744858,0.233441498,0.474928772,0.176386703,0.235442398,0.388256683,0.17329744,0.235219025,0.296589355,0.17251866100000002,0.23339299,0.210850388,0.18283897400000002,0.150347504,0.212242432,0.168865738,0.059944221,0.213066925,0.16807458500000003
0.487500,0.263851807,0.09447370100000001,0.319658173,-0.150867,0.427056,-0.643262,-0.617314,0.522152344,-0.144013931,0.922550293,-0.329826,0.252181,-0.057121,-0.907941,0.221332642,0.218007324,0.16333523600000002,-0.63036,0.197145,0.747435,0.071567,0.11024279799999999,0.347132019,0.168000076,0.999994,-0.000789,-0.003105,0.001336,-0.027426662,0.213259689,0.168543259,-0.025829844,0.304055115,0.170230118,-0.025016487,0.388564423,0.171761581,-0.023039373000000002,0.476840729,0.17460926799999998,0.061225124,0.476655121,0.174273422,0.151957916,0.47591146900000003,0.174738068,0.233439011,0.474920288,0.176388611,0.23543603500000002,0.38824444599999997,0.17329225199999998,0.235214493,0.296593781,0.17251040599999998,0.233427536,0.210791214,0.182519348,0.150342346,0.212242722,0.16885054,0.059928616,0.21305722,0.168073578
0.491667,0.263623322,0.09533847,0.319218903,-0.14926,0.426158,-0.64404,-0.617514,0.522429138,-0.143838348,0.92274292,-0.329738,0.251362,-0.057512,-0.908175,0.222495956,0.21739948999999997,0.16332505800000002,-0.629905,0.197189,0.747996,0.069562,0.110289948,0.34712771600000003,0.167982925,0.999994,-0.000726,-0.003067,0.001362,-0.027375990000000003,0.213254944,0.168532684,-0.025791460000000002,0.304043365,0.170222916,-0.024978621,0.388559753,0.171763443,-0.022996378,0.476822571,0.174606705,0.061268517,0.476644379,0.174261124,0.151996811,0.475893097,0.174728088,0.23347526600000001,0.47491909800000004,0.176375305,0.23547779800000002,0.38824444599999997,0.173283051,0.235252502,0.29658197000000003,0.172498276,0.233527649,0.210735687,0.182089005,0.150376984,0.212231522,0.168833145,0.059985607,0.21306102000000002,0.168068085
