Time_stamp,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
FPS,240.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Time,battery_X,battery_Y,battery_Z,battery_w,battery_x,battery_y,battery_z,chisel_X,chisel_Y,chisel_Z,chisel_w,chisel_x,chisel_y,chisel_z,gripper_X,gripper_Y,gripper_Z,gripper_w,gripper_x,gripper_y,gripper_z,helmet_X,helmet_Y,helmet_Z,helmet_w,helmet_x,helmet_y,helmet_z,A1_X,A1_Y,A1_Z,A2_X,A2_Y,A2_Z,A3_X,A3_Y,A3_Z,A4_X,A4_Y,A4_Z,B1_X,B1_Y,B1_Z,B2_X,B2_Y,B2_Z,C1_X,C1_Y,C1_Z,C2_X,C2_Y,C2_Z,D1_X,D1_Y,D1_Z,D2_X,D2_Y,D2_Z,D3_X,D3_Y,D3_Z,D4_X,D4_Y,D4_Z
1.695833,0.106707413,0.34555972300000004,0.164175995,0.999925,0.012082,0.001908,-0.000468,0.267620453,0.177634186,0.160897324,-0.577151,0.170184,0.788016,0.130249,-0.019897346,0.10345957900000001,0.276426758,0.426241,-0.444817,0.673545,0.408404,0.177771545,-0.06228336,0.815636963,0.700976,-0.192865,0.216751,0.651502,-0.026380322,0.21016516100000002,0.166071365,-0.026043818000000003,0.300775146,0.167085815,-0.026533315999999998,0.38549868800000003,0.169093246,-0.025893869,0.47363601699999996,0.17202269,0.058328083,0.47442904700000005,0.17186554,0.14890321399999998,0.475092651,0.170769302,0.23051416,0.47551888999999997,0.171650162,0.233589371,0.388932007,0.169308533,0.23475204500000002,0.297362762,0.167713318,0.235486237,0.210824707,0.16636314400000002,0.15110174599999998,0.211622284,0.164934464,0.060889194,0.211225845,0.16469101
1.700000,0.106721458,0.34556057700000004,0.164176514,0.999925,0.01209,0.00193,-0.000484,0.267628784,0.17765161100000001,0.161162079,-0.577778,0.170083,0.787546,0.130444,-0.019572433,0.103522873,0.276454773,0.42644,-0.444696,0.6736,0.408237,0.177908691,-0.062029362,0.8155524289999999,0.700906,-0.192913,0.216999,0.65148,-0.026345985,0.210172928,0.16608059700000002,-0.025999372,0.30077688599999997,0.16708335900000001,-0.026495007,0.38550360100000003,0.169092163,-0.025864397,0.47364581299999997,0.17201934800000002,0.058361755,0.474435699,0.171862335,0.148935745,0.475101532,0.170754883,0.23054487599999998,0.475521545,0.171638168,0.233616882,0.388934143,0.16929577599999998,0.234783997,0.297369812,0.167699234,0.235511795,0.210834579,0.166350998,0.151126175,0.211626968,0.164926682,0.060916462000000005,0.211227005,0.16468928500000002
1.704167,0.106737274,0.34556219499999996,0.164173813,0.999925,0.01209,0.00193,-0.000496,0.267628876,0.177659546,0.161411087,-0.57839,0.170044,0.787081,0.130586,-0.019289833000000003,0.103579033,0.27647738600000005,0.42659,-0.44457,0.67368,0.408085,0.178034775,-0.061781246000000005,0.815463928,0.700868,-0.192941,0.217268,0.651423,-0.026331385000000002,0.21018093899999998,0.166073471,-0.025985294,0.300783661,0.16707437100000003,-0.026490246,0.38551413,0.169078339,-0.025855405999999997,0.47365585299999996,0.172009338,0.058372314,0.474451477,0.171864182,0.148955063,0.475115234,0.17074469,0.230562027,0.475531464,0.171628906,0.233631592,0.388942108,0.169291504,0.234800323,0.297376801,0.167692383,0.235521637,0.21084436,0.16634416200000002,0.15115019200000002,0.21163359099999998,0.164912918,0.060927227,0.21123588599999998,0.164677002
1.708333,0.10675200700000001,0.345567657,0.164179077,0.999925,0.01206,0.001914,-0.000493,0.267634521,0.17765768399999998,0.1616017,-0.578825,0.169954,0.786759,0.130721,-0.01904019,0.10362595399999999,0.27650234999999995,0.426729,-0.444401,0.673799,0.407929,0.178144897,-0.061536327,0.815374207,0.700841,-0.192999,0.217505,0.651356,-0.026334846,0.21019485499999999,0.166075577,-0.025992331,0.300798279,0.167084015,-0.026494748999999998,0.385532867,0.16909314,-0.02584819,0.47366091899999996,0.172018494,0.058367103999999996,0.474472656,0.171859329,0.148945618,0.475132294,0.170750687,0.230563599,0.475542419,0.17163394199999998,0.233631439,0.388945129,0.169296661,0.234798813,0.297385559,0.167698547,0.235520813,0.210861511,0.16634539799999998,0.151142578,0.211639069,0.164915756,0.06091893,0.211250565,0.164682205
1.712500,0.106750771,0.34557785,0.164179398,0.999926,0.012042,0.001895,-0.000492,0.267637543,0.177654953,0.16174529999999998,-0.579131,0.169858,0.786538,0.130816,-0.018831123,0.103654747,0.276496887,0.426833,-0.444301,0.673906,0.407751,0.178232071,-0.061294089999999996,0.815288696,0.700835,-0.193059,0.217742,0.651265,-0.026366852000000003,0.210223206,0.16608107,-0.026020903,0.30083248900000004,0.16709121700000001,-0.026529629,0.385567383,0.169099197,-0.025870371,0.473702423,0.17203285199999999,0.058336407,0.47452105699999997,0.171870132,0.148914749,0.47515777600000003,0.170757233,0.230544922,0.4755625,0.17164126600000001,0.233618805,0.388968567,0.16929165599999998,0.234781982,0.297413513,0.167702911,0.235503555,0.210881165,0.166352859,0.151113068,0.211669739,0.16493287699999998,0.060896214,0.211275925,0.164697723
1.716667,0.10673163599999999,0.345595306,0.164183289,0.999926,0.011999,0.001878,-0.000493,0.267625885,0.17764976500000002,0.16185835299999998,-0.579359,0.16977,0.786373,0.130915,-0.018637955,0.103668968,0.276467285,0.426911,-0.444238,0.674021,0.407547,0.178301315,-0.061060634999999995,0.815214111,0.700854,-0.193072,0.217979,0.651163,-0.026412691,0.210257248,0.166095993,-0.026069925,0.30085812399999995,0.16709948700000002,-0.026564501,0.38560141,0.169111481,-0.025900410000000002,0.473731323,0.172042587,0.058290936,0.47456112699999997,0.17187930299999998,0.148878387,0.47519384800000003,0.17076535,0.230508652,0.475589264,0.17164437899999999,0.233589233,0.38898751800000003,0.16929956100000002,0.234745361,0.29745208700000003,0.167703506,0.235468246,0.21090358,0.166355392,0.151081955,0.211700912,0.164940948,0.060870544000000006,0.211303055,0.164696915
1.720833,0.10669019299999999,0.345618469,0.164173447,0.999926,0.011982,0.001865,-0.000495,0.267603485,0.17762381,0.16190469400000002,-0.579438,0.169638,0.786341,0.130928,-0.018451954,0.103709984,0.27648098800000004,0.427082,-0.44412,0.674058,0.407437,0.178368469,-0.060844452,0.81514032,0.700828,-0.193194,0.218158,0.651094,-0.026476284,0.210286911,0.166091263,-0.026127522,0.300888184,0.1670961,-0.026608782,0.385616058,0.169102936,-0.025942654000000002,0.473757172,0.172043137,0.058238045,0.474594971,0.171873001,0.14882692,0.475223297,0.170766556,0.23047863799999999,0.475612976,0.171651367,0.233549622,0.389016541,0.169287033,0.234694107,0.29748748799999997,0.167697495,0.235427994,0.21092659,0.16636377,0.15103595,0.21173407,0.16493450899999998,0.060827579,0.21133238199999999,0.16468528699999999
1.725000,0.106653122,0.345630127,0.164165726,0.999927,0.011965,0.001858,-0.000492,0.267582825,0.177578506,0.161911697,-0.579433,0.169415,0.786396,0.13091,-0.018274028999999997,0.103737915,0.276482391,0.427234,-0.444013,0.674112,0.407304,0.178447968,-0.060637870999999996,0.815068848,0.700809,-0.193271,0.218336,0.651032,-0.026527662,0.21031805399999998,0.166096313,-0.026183019999999998,0.300911469,0.16709489400000002,-0.026651003,0.38564016700000003,0.169103058,-0.025999317,0.47379141199999997,0.172035706,0.058192108,0.47460394300000003,0.171878601,0.148780563,0.47524325599999995,0.17076889,0.230441483,0.475630981,0.171660339,0.233504242,0.38903595,0.16928024300000002,0.23464473000000002,0.297512878,0.167697586,0.23538298,0.210942123,0.16636657700000002,0.15099252300000002,0.211756073,0.164939316,0.060782719,0.211350861,0.164694336
