Time_stamp,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
FPS,240.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Time,battery_X,battery_Y,battery_Z,battery_w,battery_x,battery_y,battery_z,chisel_X,chisel_Y,chisel_Z,chisel_w,chisel_x,chisel_y,chisel_z,gripper_X,gripper_Y,gripper_Z,gripper_w,gripper_x,gripper_y,gripper_z,helmet_X,helmet_Y,helmet_Z,helmet_w,helmet_x,helmet_y,helmet_z,A1_X,A1_Y,A1_Z,A2_X,A2_Y,A2_Z,A3_X,A3_Y,A3_Z,A4_X,A4_Y,A4_Z,B1_X,B1_Y,B1_Z,B2_X,B2_Y,B2_Z,C1_X,C1_Y,C1_Z,C2_X,C2_Y,C2_Z,D1_X,D1_Y,D1_Z,D2_X,D2_Y,D2_Z,D3_X,D3_Y,D3_Z,D4_X,D4_Y,D4_Z
13.783333,0.10603667400000001,0.345658356,0.173877014,0.9999,0.01132,-0.007112,-0.00453,0.272241302,0.184256073,0.169706253,0.535386,-0.078443,-0.834852,-0.101144,0.035284416,-0.032950989,0.466177948,-0.33256,0.560672,-0.321322,-0.686879,0.358985321,-0.060459887999999996,0.9343060910000001,-0.321244,0.333649,-0.055137,-0.884557,-0.029876562,0.212590622,0.17552444499999997,-0.028712071999999998,0.303005859,0.175904526,-0.0279487,0.38785116599999997,0.177492249,-0.026261679,0.47598391700000003,0.178480789,0.057884022,0.47595220899999996,0.17884582499999999,0.148453186,0.47525592,0.18048608400000002,0.229907745,0.474396912,0.184491211,0.23215652499999997,0.388027405,0.179641846,0.232015594,0.296467834,0.17959434500000002,0.23176947,0.21001054400000002,0.17875164799999999,0.14752342200000002,0.21193431100000001,0.175132248,0.057230667,0.212466599,0.173551239
13.7875,0.106054619,0.345653595,0.173867828,0.9999,0.011322,-0.007119,-0.004521,0.272022888,0.18420472699999998,0.169656677,0.535775,-0.078376,-0.834611,-0.101131,0.035169006,-0.033112762,0.46607666000000003,-0.332382,0.560851,-0.321167,-0.686891,0.358811218,-0.060436657,0.9342774660000001,-0.321113,0.333756,-0.055104,-0.884566,-0.029872156,0.212587906,0.17550439499999998,-0.028707176,0.303006897,0.175895126,-0.027937597,0.38785067700000003,0.177490234,-0.026250525,0.475986694,0.178464706,0.057898048,0.475953827,0.178839569,0.148461029,0.47525698899999996,0.18048657199999998,0.229924438,0.474390289,0.184485001,0.232167114,0.38802767899999996,0.179634445,0.232022324,0.296462708,0.179583145,0.231780991,0.210006302,0.178738342,0.147519073,0.211928009,0.175123123,0.057241764,0.212461243,0.173542328
13.791667,0.106065247,0.34565176400000003,0.17385595699999998,0.9999,0.011329,-0.007132,-0.004516,0.271754974,0.184149017,0.169666977,0.536291,-0.078282,-0.834286,-0.101152,0.035052425,-0.033269897,0.465982819,-0.332221,0.561006,-0.321037,-0.686904,0.358632172,-0.060412346,0.934252075,-0.320978,0.333816,-0.055052,-0.884596,-0.029873079,0.212588837,0.175502625,-0.028709736,0.303003937,0.175891129,-0.027941368,0.387847656,0.177485046,-0.026248729999999998,0.47598770100000004,0.178466476,0.057888561000000005,0.475947449,0.17883976699999998,0.14846362300000002,0.475250763,0.180475601,0.229919235,0.47438748199999997,0.184469788,0.23216597,0.388021606,0.179625046,0.232029282,0.29645220899999997,0.17957521099999998,0.23177792400000002,0.210000351,0.178727219,0.14750830099999998,0.211918884,0.17512384,0.057230305,0.212455536,0.17353772
13.795833,0.10604785900000001,0.345656708,0.173851913,0.9999,0.011321,-0.007113,-0.004519,0.271478241,0.184078094,0.169675842,0.536669,-0.07812,-0.834057,-0.10116,0.034927689,-0.033413559,0.465923309,-0.332072,0.561072,-0.320938,-0.686968,0.358434662,-0.060385094,0.9342251589999999,-0.32085,0.333828,-0.055004,-0.884641,-0.029894903,0.21258718899999998,0.175501495,-0.028738136,0.30299856599999997,0.175889725,-0.027964125,0.387854004,0.17747789,-0.026265684,0.475991577,0.17845919799999999,0.057866005,0.475945312,0.178826401,0.14844322199999999,0.47526043700000004,0.180475098,0.22990171799999998,0.474387604,0.18446757500000002,0.23213990799999998,0.388021942,0.179610718,0.23200990300000002,0.296462982,0.179568726,0.231754425,0.210001221,0.17871954299999998,0.147480637,0.21190872200000002,0.175115936,0.057202579,0.21245076000000002,0.173535477
13.8,0.10601185599999999,0.34565490699999996,0.173860489,0.9999,0.011318,-0.007114,-0.004544,0.271191681,0.183972839,0.16969099399999998,0.536976,-0.077861,-0.833893,-0.101079,0.034809981999999996,-0.033556057,0.465881134,-0.331937,0.561106,-0.320855,-0.687045,0.358233063,-0.060351497999999996,0.934204163,-0.320749,0.333855,-0.05498,-0.884669,-0.029924448000000003,0.212581131,0.17550500500000002,-0.028770823,0.303010986,0.175896515,-0.027989584,0.38785583500000004,0.177482788,-0.02629718,0.475999573,0.17846284499999998,0.057838524,0.475955292,0.17883839399999998,0.148420288,0.47526589999999996,0.180479935,0.229871078,0.47439819299999997,0.184473465,0.232119431,0.388033142,0.179625198,0.231978653,0.296460022,0.179578079,0.23172906499999998,0.21001113899999999,0.178717484,0.14744454999999998,0.211910767,0.17511695900000002,0.057174239999999994,0.21247065699999998,0.173536667
13.804167,0.10599099699999999,0.345665314,0.17386468500000002,0.9999,0.011318,-0.007102,-0.004541,0.27092926,0.183840012,0.169668015,0.537101,-0.077649,-0.833855,-0.10089,0.034699829,-0.033690334,0.46587265,-0.331796,0.561059,-0.320767,-0.687192,0.358043488,-0.060311535,0.9341917110000001,-0.32068,0.33389,-0.054926,-0.884684,-0.029937705999999998,0.212589203,0.175521271,-0.028791218,0.303010437,0.17590647899999998,-0.028007845,0.387867157,0.177494781,-0.026311447,0.476009003,0.17846731600000001,0.057819721000000004,0.475961334,0.17884715299999998,0.148401505,0.475277588,0.180483444,0.22984858700000002,0.474402832,0.18448172,0.23210412600000002,0.388037872,0.179634171,0.231964111,0.296471161,0.179585159,0.231716522,0.21001658599999998,0.178735703,0.147419342,0.21190484599999998,0.175128159,0.057159301999999995,0.212479614,0.173556442
13.808333,0.10598600799999999,0.345674011,0.173862732,0.9999,0.011332,-0.007098,-0.004546,0.270678406,0.183686813,0.169646957,0.537292,-0.077423,-0.833788,-0.100602,0.034603619,-0.033831287,0.46582254,-0.331606,0.561127,-0.320677,-0.68727,0.357877838,-0.060276585,0.934175171,-0.320573,0.333967,-0.054839,-0.884699,-0.029941816,0.212599731,0.17551087999999998,-0.028782097,0.303022675,0.17589845299999998,-0.028010529,0.38787890599999997,0.177492035,-0.026316124,0.476012726,0.17846250900000002,0.05781596,0.47596698,0.178839264,0.14839771999999998,0.475283966,0.180488403,0.22984648100000002,0.47441134599999996,0.184488068,0.23209918200000001,0.388040527,0.17963386499999998,0.231962112,0.296477936,0.17958628799999998,0.231715775,0.210024475,0.178739227,0.14741806,0.211909439,0.17512384,0.057159107,0.21248967,0.173550781
13.8125,0.105989166,0.345678345,0.173845108,0.9999,0.011324,-0.007119,-0.004545,0.270410431,0.18348393200000002,0.16962120100000003,0.537593,-0.077337,-0.833666,-0.100072,0.034515082999999995,-0.033965706,0.465801697,-0.331483,0.561144,-0.320484,-0.687406,0.357726624,-0.06024575,0.934152039,-0.320441,0.334056,-0.054759,-0.884718,-0.029928675,0.212604645,0.175492935,-0.028754698000000002,0.30304422,0.175862778,-0.028000307,0.387881073,0.17747377,-0.026308842,0.47601934799999995,0.178443558,0.057830044000000004,0.47597644,0.178828049,0.14840988200000002,0.475279968,0.18047016899999999,0.229858047,0.474415436,0.184469208,0.232111816,0.38805395499999995,0.17961558500000002,0.231968246,0.29647833300000004,0.179564163,0.231728271,0.210033813,0.17873555,0.147431335,0.211914963,0.17511517299999999,0.057180382,0.212495193,0.17352325400000002
